study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACPL,11.62903,1.26084,229.0,9.144702,14.11336,0.5,33
sbmd,PANAS,self,self,PLAC,18.67273,1.338673,229.0,16.03504,21.31042,0.5,33
sbmd,PANAS,self,self,ACAC,17.27027,1.632131,229.0,14.05436,20.48618,0.5,33
sbmd,PANAS,self,self,PLPL,13.02532,1.076572,229.0,10.90406,15.14657,0.5,34
sbmd,PANAS,self,self,ACPL,13.48387,1.215237,229.0,11.0894,15.87835,0.5,34
sbmd,PANAS,self,self,PLAC,19.38182,1.290254,229.0,16.83953,21.92411,0.5,34
sbmd,PANAS,self,self,ACAC,21.54054,1.573098,229.0,18.44094,24.64014,0.5,34
sbmd,PANAS,self,self,PLPL,11.81013,1.007291,229.0,9.825383,13.79487,0.5,35
sbmd,PANAS,self,self,ACPL,12.95161,1.137032,229.0,10.71123,15.192,0.5,35
sbmd,PANAS,self,self,PLAC,19.16364,1.207222,229.0,16.78495,21.54232,0.5,35
sbmd,PANAS,self,self,ACAC,20.51351,1.471864,229.0,17.61339,23.41364,0.5,35
sbmd,PANAS,self,self,PLPL,10.81013,1.055518,229.0,8.730357,12.8899,0.5,36
sbmd,PANAS,self,self,ACPL,11.93548,1.191471,229.0,9.587836,14.28313,0.5,36
sbmd,PANAS,self,self,PLAC,19.4,1.265022,229.0,16.90743,21.89257,0.5,36
sbmd,PANAS,self,self,ACAC,18.64865,1.542334,229.0,15.60967,21.68763,0.5,36
sbmd,PANAS,self,self,PLPL,9.227848,1.035949,229.0,7.186638,11.26906,0.5,37
sbmd,PANAS,self,self,ACPL,11.70968,1.169381,229.0,9.405556,14.0138,0.5,37
sbmd,PANAS,self,self,PLAC,19.52727,1.241568,229.0,17.08092,21.97363,0.5,37
sbmd,PANAS,self,self,ACAC,18.37838,1.513739,229.0,15.39574,21.36102,0.5,37
sbmd,PANAS,self,self,PLPL,10.20253,0.9653297,229.0,8.300468,12.1046,0.5,38
sbmd,PANAS,self,self,ACPL,14.85484,1.089666,229.0,12.70779,17.00189,0.5,38
sbmd,PANAS,self,self,PLAC,18.16364,1.156932,229.0,15.88404,20.44323,0.5,38
sbmd,PANAS,self,self,ACAC,17.13514,1.41055,229.0,14.35582,19.91445,0.5,38
sbmd,PANAS,self,self,PLPL,8.873418,1.167849,229.0,6.572314,11.17452,0.5,39
sbmd,PANAS,self,self,ACPL,10.1129,1.31827,229.0,7.515413,12.71039,0.5,39
sbmd,PANAS,self,self,PLAC,17.12727,1.399649,229.0,14.36944,19.88511,0.5,39
sbmd,PANAS,self,self,ACAC,19.91892,1.706473,229.0,16.55652,23.28132,0.5,39
sbmd,PANAS,self,self,PLPL,13.07595,1.063935,229.0,10.9796,15.1723,0.5,40
