study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACAC,19.6,3.713799,229.0,12.28241,26.91759,0.07143,56
sbmd,PANAS,self,self,PLPL,10.91667,2.708215,229.0,5.580461,16.25287,0.07143,57
sbmd,PANAS,self,self,ACPL,13.0614,0.878661,229.0,11.33011,14.7927,0.07143,57
sbmd,PANAS,self,self,PLAC,18.32353,0.9289101,229.0,16.49323,20.15383,0.07143,57
sbmd,PANAS,self,self,ACAC,25.4,4.195549,229.0,17.13319,33.66681,0.07143,57
sbmd,PANAS,self,self,PLPL,7.166667,2.727621,229.0,1.792223,12.54111,0.07143,58
sbmd,PANAS,self,self,ACPL,13.73684,0.8849572,229.0,11.99314,15.48054,0.07143,58
sbmd,PANAS,self,self,PLAC,17.67647,0.9355664,229.0,15.83305,19.51989,0.07143,58
sbmd,PANAS,self,self,ACAC,22.8,4.225613,229.0,14.47395,31.12605,0.07143,58
sbmd,PANAS,self,self,PLPL,11.08333,2.767536,229.0,5.630244,16.53642,0.07143,59
sbmd,PANAS,self,self,ACPL,12.60526,0.8979072,229.0,10.83605,14.37448,0.07143,59
sbmd,PANAS,self,self,PLAC,18.79412,0.9492569,229.0,16.92372,20.66451,0.07143,59
sbmd,PANAS,self,self,ACAC,22.2,4.287448,229.0,13.75211,30.64789,0.07143,59
sbmd,PANAS,self,self,PLPL,12.66667,2.837579,229.0,7.075565,18.25777,0.07143,60
sbmd,PANAS,self,self,ACPL,12.48246,0.9206322,229.0,10.66846,14.29645,0.07143,60
sbmd,PANAS,self,self,PLAC,17.83333,0.9732816,229.0,15.9156,19.75107,0.07143,60
sbmd,PANAS,self,self,ACAC,22.6,4.395959,229.0,13.9383,31.2617,0.07143,60
sbmd,PANAS,self,self,PLPL,9.916667,2.66922,229.0,4.657297,15.17604,0.07143,61
sbmd,PANAS,self,self,ACPL,11.46491,0.8660092,229.0,9.758547,13.17128,0.07143,61
sbmd,PANAS,self,self,PLAC,17.5098,0.9155348,229.0,15.70586,19.31375,0.07143,61
sbmd,PANAS,self,self,ACAC,21.0,4.135137,229.0,12.85222,29.14778,0.07143,61
sbmd,PANAS,self,self,PLPL,11.0,2.46977,229.0,6.133621,15.86638,0.07143,62
sbmd,PANAS,self,self,ACPL,12.34211,0.8012992,229.0,10.76324,13.92097,0.07143,62
sbmd,PANAS,self,self,PLAC,18.64706,0.8471241,229.0,16.9779,20.31621,0.07143,62
sbmd,PANAS,self,self,ACAC,22.4,3.826151,229.0,14.86104,29.93896,0.07143,62
sbmd,PANAS,self,self,PLPL,16.33333,2.785022,229.0,10.84579,21.82088,0.07143,63
sbmd,PANAS,self,self,ACPL,11.26316,0.9035805,229.0,9.482763,13.04355,0.07143,63
sbmd,PANAS,self,self,PLAC,18.2451,0.9552547,229.0,16.36289,20.12731,0.07143,63
sbmd,PANAS,self,self,ACAC,18.8,4.314538,229.0,10.29873,27.30127,0.07143,63
sbmd,PANAS,self,self,PLPL,11.58333,2.9007,229.0,5.867859,17.29881,0.07143,64
sbmd,PANAS,self,self,ACPL,10.90351,0.9411115,229.0,9.049164,12.75785,0.07143,64
sbmd,PANAS,self,self,PLAC,18.0098,0.994932,229.0,16.04941,19.9702,0.07143,64
sbmd,PANAS,self,self,ACAC,16.0,4.493746,229.0,7.145625,24.85437,0.07143,64
sbmd,PANAS,self,self,PLPL,10.83333,2.715758,229.0,5.482265,16.1844,0.07143,65
sbmd,PANAS,self,self,ACPL,12.73684,0.8811084,229.0,11.00073,14.47296,0.07143,65
sbmd,PANAS,self,self,PLAC,19.42157,0.9314974,229.0,17.58617,21.25697,0.07143,65
sbmd,PANAS,self,self,ACAC,25.2,4.207235,229.0,16.91016,33.48984,0.07143,65
sbmd,PANAS,self,self,PLPL,13.41667,2.711594,229.0,8.073802,18.75953,0.07143,66
sbmd,PANAS,self,self,ACPL,12.85088,0.8797574,229.0,11.11742,14.58433,0.07143,66
sbmd,PANAS,self,self,PLAC,17.68627,0.9300692,229.0,15.85369,19.51886,0.07143,66
sbmd,PANAS,self,self,ACAC,19.0,4.200784,229.0,10.72287,27.27713,0.07143,66
sbmd,PANAS,self,self,PLPL,10.58333,2.527478,229.0,5.603249,15.56342,0.07143,67
sbmd,PANAS,self,self,ACPL,13.20175,0.8200221,229.0,11.586,14.81751,0.07143,67
