study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,1.0,231.0,0.9541364805343521,-0.0001977266720116777,0.3296904481630252,0.57143,58
sbmd,creativity,self,self,with_guess,3.0,229.0,15.668929728823455,0.1594409663478944,2.6523624047716808e-09,0.57143,58
sbmd,creativity,self,self,without_guess,1.0,231.0,1.949336262850606,0.004075290696597733,0.16399864630194153,0.57143,59
sbmd,creativity,self,self,with_guess,3.0,229.0,24.034595880778305,0.22950155553811769,1.4686076532424955e-13,0.57143,59
sbmd,creativity,self,self,without_guess,1.0,231.0,8.889453583867484,0.03288787175093244,0.0031753443315986124,0.57143,60
sbmd,creativity,self,self,with_guess,3.0,229.0,16.73710882784246,0.1690881493889279,7.258986645595544e-10,0.57143,60
sbmd,creativity,self,self,without_guess,1.0,231.0,3.038247776150056,0.008709037072007098,0.08265425056991683,0.57143,61
sbmd,creativity,self,self,with_guess,3.0,229.0,18.486602255953432,0.18441904803328257,8.945179043755499e-11,0.57143,61
sbmd,creativity,self,self,without_guess,1.0,231.0,1.6012618250659676,0.002584946531881571,0.2069993716821602,0.57143,62
sbmd,creativity,self,self,with_guess,3.0,229.0,12.112762298441911,0.1256444642249367,2.182878372555729e-07,0.57143,62
sbmd,creativity,self,self,without_guess,1.0,231.0,3.3802733515585137,0.010155604469272994,0.06726493685612286,0.57143,63
sbmd,creativity,self,self,with_guess,3.0,229.0,19.128753071959004,0.18990526767864535,4.1846616744899775e-11,0.57143,63
sbmd,creativity,self,self,without_guess,1.0,231.0,0.851585793333446,-0.0006401259070913934,0.35706696988299447,0.57143,64
sbmd,creativity,self,self,with_guess,3.0,229.0,19.632599433840237,0.19415847787407503,2.313200809052697e-11,0.57143,64
sbmd,creativity,self,self,without_guess,1.0,231.0,6.794675288518439,0.02436839799498336,0.009737935127058542,0.57143,65
sbmd,creativity,self,self,with_guess,3.0,229.0,19.933728200798466,0.19667919534539302,1.625329246526892e-11,0.57143,65
sbmd,creativity,self,self,without_guess,1.0,231.0,4.1667789155254376,0.013466098103350643,0.0423608206852774,0.57143,66
sbmd,creativity,self,self,with_guess,3.0,229.0,17.289056185739064,0.1739867596780439,3.7355003012252716e-10,0.57143,66
sbmd,creativity,self,self,without_guess,1.0,231.0,3.903983493054486,0.01236242761775197,0.0493619217883374,0.57143,67
sbmd,creativity,self,self,with_guess,3.0,229.0,16.6963900407331,0.16872446215516468,7.624692155242879e-10,0.57143,67
sbmd,creativity,self,self,without_guess,1.0,231.0,4.434775039382568,0.014589072658480529,0.036293525825071386,0.57143,68
sbmd,creativity,self,self,with_guess,3.0,229.0,16.793350842839164,0.16958996213117705,6.782746453857992e-10,0.57143,68
sbmd,creativity,self,self,without_guess,1.0,231.0,1.0986718077495623,0.0004251287048780972,0.2956532118346992,0.57143,69
sbmd,creativity,self,self,with_guess,3.0,229.0,23.420902727452706,0.22476140976900827,2.9359958883129135e-13,0.57143,69
sbmd,creativity,self,self,without_guess,1.0,231.0,2.4841505177883136,0.00635653646937917,0.11636691242234573,0.57143,70
sbmd,creativity,self,self,with_guess,3.0,229.0,18.056293636363154,0.1807009327607475,1.4921755843599026e-10,0.57143,70
sbmd,creativity,self,self,without_guess,1.0,231.0,0.090920899610792,-0.003933859006014728,0.7632809376249603,0.57143,71
sbmd,creativity,self,self,with_guess,3.0,229.0,14.56261570221246,0.1492103426623409,1.0294255513944501e-08,0.57143,71
sbmd,creativity,self,self,without_guess,1.0,231.0,5.361800421140225,0.01845391435235544,0.021459539093436456,0.57143,72
sbmd,creativity,self,self,with_guess,3.0,229.0,14.15392286582097,0.1453676840070206,1.7050923366762547e-08,0.57143,72
sbmd,creativity,self,self,without_guess,1.0,231.0,4.792479109722,0.01608396978581006,0.02958572748151719,0.57143,73
sbmd,creativity,self,self,with_guess,3.0,229.0,14.911371898352536,0.15246223726658104,6.702797494106701e-09,0.57143,73
sbmd,creativity,self,self,without_guess,1.0,231.0,2.9057566302589874,0.008147540521080354,0.08960832466957235,0.57143,74
sbmd,creativity,self,self,with_guess,3.0,229.0,16.832887882114985,0.16994236404094565,6.466927744951885e-10,0.57143,74
sbmd,creativity,self,self,without_guess,1.0,231.0,0.5932807325836583,-0.0017561790485880469,0.44194028011215425,0.57143,75
sbmd,creativity,self,self,with_guess,3.0,229.0,24.958853387709315,0.2365320975219114,5.212834718458192e-14,0.57143,75
sbmd,creativity,self,self,without_guess,1.0,231.0,4.752820387126956,0.015918453832130197,0.030260507558439557,0.57143,76
sbmd,creativity,self,self,with_guess,3.0,229.0,20.309805491860455,0.19980523942612893,1.0474709348608173e-11,0.57143,76
sbmd,creativity,self,self,without_guess,1.0,231.0,7.270176304875069,0.026315405486804,0.0075270638573839005,0.57143,77
sbmd,creativity,self,self,with_guess,3.0,229.0,22.662348833491833,0.21882114814853204,6.950863555799497e-13,0.57143,77
sbmd,creativity,self,self,without_guess,1.0,231.0,0.49282428257144306,-0.002190891743622636,0.48337687762592285,0.57143,78
sbmd,creativity,self,self,with_guess,3.0,229.0,21.377839484063944,0.20855178478049863,3.034001023979315e-12,0.57143,78
sbmd,creativity,self,self,without_guess,1.0,231.0,6.269151945798194,0.0222074884264849,0.01297697368744031,0.57143,79
sbmd,creativity,self,self,with_guess,3.0,229.0,19.150232853014312,0.19008750487588577,4.079993860264897e-11,0.57143,79
sbmd,creativity,self,self,without_guess,1.0,231.0,3.887697899313202,0.012293951216427845,0.04983441637757111,0.57143,80
sbmd,creativity,self,self,with_guess,3.0,229.0,23.80932863303008,0.2277683475269654,1.892936156761459e-13,0.57143,80
sbmd,creativity,self,self,without_guess,1.0,231.0,5.0658145399510595,0.01722322458198622,0.02534362960115439,0.57143,81
sbmd,creativity,self,self,with_guess,3.0,229.0,15.383566592693512,0.15682569520224088,3.757968843776767e-09,0.57143,81
sbmd,creativity,self,self,without_guess,1.0,231.0,9.081783279550347,0.03366262599832481,0.0028695588234041998,0.57143,82
sbmd,creativity,self,self,with_guess,3.0,229.0,27.827277572287418,0.25755683783954997,2.215412839311691e-15,0.57143,82
sbmd,creativity,self,self,without_guess,1.0,231.0,2.3326243224130048,0.005711264450408038,0.1280562018049455,0.57143,83
sbmd,creativity,self,self,with_guess,3.0,229.0,21.3242925002941,0.2081178231274965,3.2274880567512508e-12,0.57143,83
sbmd,creativity,self,self,without_guess,1.0,231.0,4.920439706472522,0.016617634789720892,0.02751407962218836,0.57143,84
sbmd,creativity,self,self,with_guess,3.0,229.0,22.009977827221377,0.21363911362431776,1.465851558325952e-12,0.57143,84
sbmd,creativity,self,self,without_guess,1.0,231.0,4.7153117942795095,0.01576186021178827,0.030913579112142396,0.57143,85
sbmd,creativity,self,self,with_guess,3.0,229.0,14.946310353375225,0.15278664322181157,6.421298274342597e-09,0.57143,85
sbmd,creativity,self,self,without_guess,1.0,231.0,9.124752818308751,0.03383554890926377,0.002805463636571816,0.57143,86
sbmd,creativity,self,self,with_guess,3.0,229.0,32.397768574255096,0.2887652936777957,1.709980037983941e-17,0.57143,86
sbmd,creativity,self,self,without_guess,1.0,231.0,1.0373998020424207,0.00016118006008658536,0.3094925283799779,0.57143,87
sbmd,creativity,self,self,with_guess,3.0,229.0,15.321271312580773,0.15625261128895407,4.055475528044786e-09,0.57143,87
sbmd,creativity,self,self,without_guess,1.0,231.0,3.2156040985872343,0.009459677578333547,0.07424738133013423,0.57143,88
sbmd,creativity,self,self,with_guess,3.0,229.0,18.942838620373834,0.18832451233548642,5.211601606128986e-11,0.57143,88
sbmd,creativity,self,self,without_guess,1.0,231.0,0.2691179362609006,-0.0031603098168104804,0.6044206820087855,0.57143,89
sbmd,creativity,self,self,with_guess,3.0,229.0,22.924024081661884,0.22088059417094397,5.159646709406508e-13,0.57143,89
sbmd,creativity,self,self,without_guess,1.0,231.0,0.21388763510552722,-0.0033999357604983516,0.6441725539823402,0.57143,90
sbmd,creativity,self,self,with_guess,3.0,229.0,20.934277102521015,0.20494260127493524,5.067998137993832e-12,0.57143,90
