study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,creativity,self,self,with_guess,intercept,64.10000000000001,1.573248908650856,40.74371172135066,1.9305480069105385e-107,0.0,52
sbmd,creativity,self,self,with_guess,conditionAC,-11.913008130081302,2.165323772626479,-5.501721396440933,9.954795437850168e-08,0.0,52
sbmd,creativity,self,self,without_guess,intercept,64.62727272727274,1.4594170321266737,44.28293716231157,7.485453650561385e-115,0.0,53
sbmd,creativity,self,self,without_guess,conditionAC,-11.952475979305246,2.0086525256514114,-5.950494586130086,9.837243397415327e-09,0.0,53
sbmd,creativity,self,self,with_guess,intercept,64.62727272727274,1.4594170321266737,44.28293716231157,7.485453650561385e-115,0.0,53
sbmd,creativity,self,self,with_guess,conditionAC,-11.952475979305246,2.0086525256514114,-5.950494586130086,9.837243397415327e-09,0.0,53
sbmd,creativity,self,self,without_guess,intercept,64.61818181818182,1.4846635400835584,43.52378843663464,2.655170661374971e-113,0.0,54
sbmd,creativity,self,self,without_guess,conditionAC,-14.788913525498895,2.0434002782506653,-7.237404087151998,6.7133280370613714e-12,0.0,54
sbmd,creativity,self,self,with_guess,intercept,64.61818181818182,1.4846635400835584,43.52378843663464,2.655170661374971e-113,0.0,54
sbmd,creativity,self,self,with_guess,conditionAC,-14.788913525498895,2.0434002782506653,-7.237404087151998,6.7133280370613714e-12,0.0,54
sbmd,creativity,self,self,without_guess,intercept,63.527272727272745,1.5663533647125718,40.55743369180944,4.8894251591545414e-107,0.0,55
sbmd,creativity,self,self,without_guess,conditionAC,-11.746784922394678,2.1558331668280863,-5.448837648081053,1.296614282218653e-07,0.0,55
sbmd,creativity,self,self,with_guess,intercept,63.52727272727273,1.566353364712572,40.55743369180943,4.8894251591549577e-107,0.0,55
sbmd,creativity,self,self,with_guess,conditionAC,-11.746784922394678,2.1558331668280863,-5.448837648081053,1.296614282218653e-07,0.0,55
sbmd,creativity,self,self,without_guess,intercept,64.70909090909093,1.7519646707240621,36.935157420924234,6.686028835274027e-99,0.0,56
sbmd,creativity,self,self,without_guess,conditionAC,-17.018033998521805,2.411297239401056,-7.057625961844889,1.960983879184305e-11,0.0,56
sbmd,creativity,self,self,with_guess,intercept,64.70909090909093,1.7519646707240621,36.935157420924234,6.686028835274027e-99,0.0,56
sbmd,creativity,self,self,with_guess,conditionAC,-17.018033998521805,2.411297239401056,-7.057625961844889,1.960983879184305e-11,0.0,56
sbmd,creativity,self,self,without_guess,intercept,64.90909090909092,1.5865690061560969,40.911609048982484,8.377618224580394e-108,0.0,57
sbmd,creativity,self,self,without_guess,conditionAC,-11.900960827790092,2.183656741823664,-5.450014464201502,1.2890366235980225e-07,0.0,57
sbmd,creativity,self,self,with_guess,intercept,64.90909090909092,1.5865690061560969,40.911609048982484,8.377618224580394e-108,0.0,57
sbmd,creativity,self,self,with_guess,conditionAC,-11.900960827790092,2.183656741823664,-5.450014464201502,1.2890366235980225e-07,0.0,57
sbmd,creativity,self,self,without_guess,intercept,64.37272727272729,1.4641310929312312,43.96650517396724,3.2936870059185166e-114,0.0,58
sbmd,creativity,self,self,without_guess,conditionAC,-13.29142645971914,2.0151406712141298,-6.595780954443744,2.851227259452746e-10,0.0,58
sbmd,creativity,self,self,with_guess,intercept,64.37272727272729,1.4641310929312312,43.96650517396724,3.2936870059185166e-114,0.0,58
sbmd,creativity,self,self,with_guess,conditionAC,-13.29142645971914,2.0151406712141298,-6.595780954443744,2.851227259452746e-10,0.0,58
sbmd,creativity,self,self,without_guess,intercept,62.75454545454546,1.5666596765104013,40.05627156647433,6.053707740299499e-106,0.0,59
sbmd,creativity,self,self,without_guess,conditionAC,-12.299260901699926,2.1562547556904903,-5.703992475490853,3.5629135296857064e-08,0.0,59
sbmd,creativity,self,self,with_guess,intercept,62.75454545454546,1.5666596765104013,40.05627156647433,6.053707740299499e-106,0.0,59
sbmd,creativity,self,self,with_guess,conditionAC,-12.299260901699926,2.1562547556904903,-5.703992475490853,3.5629135296857064e-08,0.0,59
sbmd,creativity,self,self,without_guess,intercept,65.51818181818183,1.743586995699131,37.5766634987495,2.2036056865668595e-100,0.0,60
sbmd,creativity,self,self,without_guess,conditionAC,-15.371840354767183,2.3997667188387513,-6.405556104305683,8.302681007080522e-10,0.0,60
sbmd,creativity,self,self,with_guess,intercept,65.51818181818182,1.743586995699131,37.57666349874949,2.203605686566985e-100,0.0,60
sbmd,creativity,self,self,with_guess,conditionAC,-15.371840354767183,2.3997667188387513,-6.405556104305683,8.302681007080522e-10,0.0,60
sbmd,creativity,self,self,without_guess,intercept,64.05454545454545,1.648891859874611,38.84702630493697,2.8934542313656093e-103,0.0,61
sbmd,creativity,self,self,without_guess,conditionAC,-14.818773096821877,2.2694341137274825,-6.529721663733367,4.1421557995719035e-10,0.0,61
sbmd,creativity,self,self,with_guess,intercept,64.05454545454548,1.648891859874611,38.84702630493698,2.893454231365445e-103,0.0,61
sbmd,creativity,self,self,with_guess,conditionAC,-14.818773096821875,2.2694341137274825,-6.529721663733366,4.1421557995719345e-10,0.0,61
sbmd,creativity,self,self,without_guess,intercept,65.59090909090911,1.4677288429457997,44.68871032013319,1.1333818169315463e-115,0.0,62
sbmd,creativity,self,self,without_guess,conditionAC,-12.664079822616408,2.0200923947409515,-6.269059700232374,1.7652323582725936e-09,0.0,62
sbmd,creativity,self,self,with_guess,intercept,65.59090909090911,1.4677288429457997,44.68871032013319,1.1333818169315463e-115,0.0,62
